RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,150972.30338539273,151627.0759254205,152404.72636269385,154175.76766638542,156122.41927465078,158564.52973431474,161319.2122714355,164314.57251854322,167166.19261125792,169660.40021313963,172101.61646727173,174281.7308852255,176196.9655734169,178360.4521246384,181184.65343433092,184749.47812875893,188160.04560505474,190976.46534557533,193266.85988505394,195428.99595634374,197699.57582503627,200001.86855914086,202235.12883815554,204071.5138838262,205802.83653383618,207501.15239788478,209535.99425067252,211899.27683964706,214728.03192066398,217819.12947275458,221549.32371667618,225668.1765703985,230003.79574117457,234333.0667205234,238288.74645234644,242516.4024345176,246302.60128621917,250018.5839687567,253857.73697489666,257890.90266928382,262202.99855983286,265879.08825991815,270043.4530497379,273870.4403311473,278313.9550139796,282303.6320432754,286253.683941847,288511.10922147287,291629.9324527725,296165.29884894384,302172.916538877,307931.7321032774,313697.19596713624,322565.12562425877,331903.0409659082,341074.2967361712,348422.0699744861,355411.5742238558,361163.8643870096,365996.7097043609,369157.01192187355,371795.4821513992,375677.6566304187,380752.9046691645,386077.87160871644,388713.8636805319,389702.26990424446,390223.9932401551,390627.2999930235,390809.98666419275,390645.4311673003,390359.4422392545,390835.56912194355,390407.7789308576,390162.44199949765,389389.49007994845,389638.37840338465,388848.7022089186,386747.8615411215,383502.7814230926,380392.1996855642,377825.63688822853,376190.41462524835,374391.7007517282,372872.4648020501,371005.99010303157,367532.64633580315,363677.2745008374,359447.9331781438,356269.46127743804,352718.91348481464,350035.2402603019,346892.7474562338,343854.9217729962,340114.3472044656,337162.8954280151,333388.08656327514,328791.67995380424,323324.33153047034,318882.52160412865,313745.4157906347,308481.87124618253,302255.3158948914,296271.7439020693,289145.10578336945,282546.36164951714,276379.8484896728,271999.34831086785,268359.5466279672,266051.37826860766,264814.986758905,262011.5932178615,259608.0834343887,255147.05885814657,252631.6933555955,249643.83969034697,249032.7802430257,248723.68243362082,250100.19339792698,251711.60773005433,253583.1053191727,254785.58312621922,255944.5161685221,257653.43278837504,257951.19396034107,257519.0293246548,255842.1257673554,254119.23991855033,251784.11844372927,248886.45734670607,246214.9810933344,244749.88758855592,243568.23652087603,242558.24808131755,240719.63285458056,239316.78193955123,237882.3637978341,236886.76004692586,235453.34037232387,232962.29121500676,230240.67963448053,227937.21259160922,226689.4488258206,225565.80357563507,225333.6115560803,225271.8898911572,225035.3123077867,224009.81356320716,223528.49034553932,224644.00173514892,226295.75192113625,228218.55649224672,230605.87557490545,233620.49365612518,237076.47864416218,240637.29725936087,244917.71668156455,249523.27293086672,253746.03983560778,258285.02182045742,263913.11888197664,270867.84464119805,277414.4010425213,283604.8635166961,289388.77886568574,294883.69609902875,298840.5006564643,301512.1402080261,303413.3557217174,305832.5430657231,308303.8336600116,311224.11662333406,313964.160352364,316602.26165084913,318042.11417668615,318912.8862714675,319751.09374815325,321200.4738764137,322993.9655864392,325097.6866105345,326892.7426385582,328430.878770595,329533.90477923746,330743.3241684412,332454.15283283236,334468.77649704576,336342.1096266527,338165.63333998783,340121.3352801775,343070.8027545798,346251.1560653231,349622.3219445517,352969.09602414834,355939.9983242755,358105.7118186103,359817.400380328,361413.0833749422,363534.5171951454,365261.6515141214,367092.2465261814,368813.3183007424,371528.61085692403,375016.8151554626,379241.6696580747,382776.54229233164,385771.6867985055,388003.44706072536,390416.8134599924,392328.91082593676,394673.9479212039,397047.2351241066,400427.9012502215,403777.2158199032,407755.2706114774,411335.81895376294,415168.04763900844,418473.7304097395,421368.06028096034,423799.76613220474,425896.0435182546,427905.4935260241,429516.7485255827,431482.6055806007,433629.4891425674,435561.64551096974,436925.12557381316,437418.05490385595,437706.31757391075,439645.405684421,443210.3669691528,447826.7292633262,451222.21388854645,452947.7980337325,453742.6348717196,453540.7490554086,453791.68352561677,453785.5091316761,454729.9374497756,456310.12020568416,458515.1774410281,460314.4174070603,461678.0112256861,463034.1752902749,464919.46750927204,465679.96769638156,463576.4440065666,459235.13296014816,455455.54410200793,454913.9375807854,457133.8403937076,461701.9254588772,467332.40006634727,472832.9654472037,477568.79466342943,482523.5230331178,489200.7867449427,498362.22537238523,509149.32757026487,519859.08140240534,528956.4634121804,535925.0343980178,542391.0884062153,549587.53879723,558861.2358941535,570202.6589149655,583786.3193737151,599403.8132130087,615478.9546080917,629499.5934779408,639717.8553535662,644329.9088293753,642835.243609122,637137.340779681,631124.0154451886,626245.6167982734,621722.3991586679,616655.7653762553,611857.5995102015,609065.4987504771,609315.4284336123,612412.2422475456,618174.2753968467,625054.4005710123,632976.531121634,640744.0652264169,647228.1056560505,651649.8478469142,653263.9687495002,654352.2791341598,656328.8073498387
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,183441.76195052642,184947.98224815365,186095.97665072288,188444.02744539094,190595.69585721902,192884.13274013205,195283.82585289868,197672.05924901887,200056.0938858582,202554.75053578985,204793.08045141932,207179.743884624,209111.2790644763,211438.37028820382,213650.67752126502,216455.27372889247,219274.4890358091,221817.92512953278,224274.08419180507,226581.95722768115,229286.03577199424,231843.19252762382,234050.68483226586,236095.13114298144,237870.8620326277,239934.29734738785,242157.1460677495,244971.58906713236,248267.03495056287,252045.4430795141,256473.71233765854,261132.21436315417,265456.5898119827,269336.05258399545,272937.84678183385,276653.15558238665,280075.3267949019,283615.58099812554,287130.54404965736,291455.5057045229,296425.7374808866,301032.19627199863,305576.46155851934,310310.9014290288,315995.4379461341,321969.7313629186,327875.1853873516,332921.7404523538,338427.0270779401,345383.7046440696,354711.2508636049,364628.4685331282,375713.96815823717,387276.66615627654,397905.60896537144,406057.7828988288,410920.512679276,415102.76937825157,417725.0510843387,421790.14776586456,426489.7994381537,431138.84987947624,436889.78174083243,442352.8022716835,448545.54212230415,452457.4016952782,456933.76812956453,461944.12066943845,467736.08016804815,472593.29355226154,475746.88676102104,479970.6181164154,483610.43350850564,487725.13934916403,490438.5020986975,493635.45331386133,495930.4067906807,497611.86297339277,496567.28470896167,496523.72784156475,495723.4370800189,496343.292783028,495004.6872617111,492709.2239480459,492164.89577503194,492254.4856566451,492562.94160882896,489910.05682645616,486089.70755305607,482549.4450893021,477419.5888084753,471125.7347536899,462720.28769017453,455689.5501216695,451362.2845529902,445679.1065191226,438194.74508079124,426375.2141071426,416597.3219105403,405927.81294241286,396599.44998858985,388476.98253701645,384626.4454594703,382337.02257881634,380924.6119188943,376839.23984890874,370642.0620544081,362706.3614591454,355452.20728570595,351930.05690746376,348509.1024868019,345497.0726100128,341532.14788610075,337947.23218497605,334060.2636076491,331495.6745409311,330962.8030444263,331847.4583012928,332681.6779726638,333970.73101275257,332359.3488548816,329987.596565044,325677.5307331438,325478.1349284795,325161.765512182,324531.62063028634,321412.6700059702,318439.04748491757,315315.81931947806,312262.022336528,308204.57521934377,304694.8460011603,302586.6596281394,301957.7707029511,300915.9504356343,298563.17589335394,294594.12394519156,291517.9448745889,289584.1896284204,287721.76700043824,284804.4622159999,281962.8798332954,280788.6007314424,280412.51201520424,279344.38318814925,277438.91561632906,275037.3351777629,273084.5871587516,272181.99779046635,272465.03871202987,273488.2085990293,275090.74197422626,277746.1901231426,281716.9217351507,287228.753780663,293091.7427811921,299560.3744498466,305553.32368400815,311579.71155299636,317461.4758228891,324341.55372263136,331964.9315938425,339073.5272293138,345223.80301085504,351209.5327803657,357308.9064175969,363270.52337908326,367956.9569495258,371793.89475825423,375057.1961835246,378257.69731774856,380917.6903014273,383277.3550730501,384661.01939595706,385740.3137594524,385929.42164671095,386964.4966067236,388687.46030611004,392020.1189078044,395542.3592289549,398392.4716353408,399674.84018514754,400442.6978388883,400753.48336203693,401474.87389962276,401897.56080172723,402688.6593687855,402043.63491461123,400726.19082091976,398905.0457208033,397895.82885409537,397109.90131887345,399700.46544660715,404977.76689127367,412549.7319381139,418232.52890622994,422374.1883043645,425052.09507464926,426886.6290755368,425289.39771428215,421455.19679996767,417108.58719576936,415909.82180929603,416761.67065631895,421869.9228518812,429339.6049129462,439038.10118146596,446166.84169549955,451300.4385112584,454716.00115392666,457875.9026699806,461507.3522408802,466353.23641650734,472264.22024624894,478575.5657736139,484946.5665780413,489997.3484111925,492780.556425906,493348.5643924304,492639.81350731873,492630.2349413853,492731.7405552713,493604.5875883706,495059.6066773824,497426.2657144284,500134.07461485284,502176.04722634115,503470.61106308916,501843.78655811324,498341.2987187172,493964.6091664371,492015.9114894452,490889.9708435017,489968.37906800146,488563.0591339641,488711.67515462014,490468.79603974987,493337.7557700758,496250.9010432725,499098.24461580307,501221.50429245504,502517.23159640847,503290.984919026,504480.4670494621,504735.39421988156,504087.402439987,502773.5607773647,503671.7928721195,507090.14301043656,512605.7455211978,519837.5951912889,527397.7440070374,533982.9371928115,538348.6736285508,541619.6580376023,546206.111444208,553207.0984240987,561908.3095578002,571166.3711979612,580517.8240441638,589827.7653957313,600157.7323031793,611053.8875867286,623091.0477281037,634702.8640095886,646980.9147516068,659856.8755934146,673273.7548670972,684212.9843036538,691130.3537884202,691798.2810991541,688574.6884034947,683011.9526706332,680247.4925657706,678398.6264516526,676840.3004514709,671226.5750100903,664098.5392942134,658766.0120244413,659416.744949014,664808.8164976585,672492.7357622214,680933.872889143,690629.0555046058,700919.6590384556,710333.819414888,717066.0550102143,720718.0892477576,722946.0735010506,724930.9111699642
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,122275.98001169441,122635.36311801408,123132.07490388873,124215.59893917535,125661.03698560149,127401.57954149698,129235.67631021109,131257.62519324647,133329.41949674438,135370.20456426663,137056.11773842608,138430.48672357725,139743.81473382292,140883.06636259874,142283.74567870758,143801.9193406306,145513.61873565242,147090.8554020309,148855.90829717656,150921.58625846074,152908.6839467905,154494.50266326932,155636.26990930593,156705.29198910194,157639.52569097964,158509.62371978615,159279.08401923958,160186.31015706572,161300.8656335976,162984.41075011142,164888.25211010073,167177.44844413863,169408.95899963522,171286.59855176686,172952.79257197728,174390.07901107054,176093.77178773875,177568.53453435434,179191.59548870855,181030.71451687056,183373.30950702995,185938.02806817775,188706.13348080506,191688.95367603563,194590.93898777003,197403.07852589898,199828.1241231143,201891.42115219543,203797.6220842291,206108.42349173906,209238.9775237836,213220.01322284716,217639.44483335075,223435.94621091374,230162.0692629722,237788.5578866932,244137.57377065925,249745.6559005912,253587.4771064578,258187.5928081538,261415.95813818564,266388.39336023433,270948.99275079044,277420.7469940297,283224.30922279163,288947.5512459967,294122.2123782118,299265.43305059144,303960.6254435466,308394.3607574881,312010.64849766664,314847.5414680746,317321.0482467124,319386.19046834344,321547.46517078247,323179.76958893455,324487.0254802317,325676.79103214486,326386.5176952219,326963.4744672261,327671.81994147477,327867.3997363167,327861.49134731933,327564.0154890498,326775.31471019675,325911.4659409853,323841.2359720526,320761.5947398803,316527.3309056985,311785.1048084776,308002.7789448313,303475.81475772423,298519.93479398,293174.0804776974,288281.8360666796,283746.832994124,279161.7777868716,274044.27255435794,267974.1050036159,261367.98379110463,255025.45521095055,249067.5858510039,242119.51854498754,234564.3320821071,227101.74155751697,222157.9968005281,217730.31711507848,212764.5703495962,207099.90813430643,204083.0183507458,202446.27021786408,201002.74009804951,198132.74277978772,196109.8024339153,193980.6061083291,190902.57736025364,187580.94910393984,185302.6794649878,185043.14928695865,186249.06773973154,188104.38507611692,189099.09983289495,189095.64244981724,188692.33318599686,188550.90642620748,187335.48583529238,185444.44599596993,181708.51510609547,178925.83218211556,175642.56569403727,175178.35198014963,175187.6786353033,175599.66900586453,174666.2274806176,173531.1557071189,172335.75532475513,171487.6428060398,169655.716441881,167932.9952207424,166822.6443093171,165750.8695386004,164717.61011645023,163342.47744142343,162938.10884207033,163085.15140784162,162957.347162651,162564.96149413844,162155.0792287593,162346.99559000027,162870.26987229224,163415.54549226994,164283.47573204062,165618.3051410074,167297.6857933208,169139.67836072863,171318.3401549048,173884.64677721405,176165.97809662906,178616.0922444246,181498.7268400927,185244.78045140847,189079.04367458864,192121.8713452023,195194.40698787628,198516.31121724207,202185.34598448637,205243.30152575858,207278.21091442267,209140.72312023377,211014.4895598036,213505.78265704212,216084.42398147358,218656.86532508835,220677.9093521804,222164.82507273403,223294.9510836436,224186.2250236819,224724.99065850428,225510.31370555016,226443.75560868965,227690.4065975745,228418.68731432853,228912.41156294174,229244.32404802655,230041.67328431117,230978.2406609663,232009.7467458829,233434.43715497458,234956.7868431115,236640.1775499996,237781.53549744282,238711.42925877043,239618.5426458239,240331.31306495788,240642.9768222362,240587.6537169259,240153.32432615012,239941.0133387833,238736.79894550602,237364.72816431744,235452.91401509428,234195.97352487617,232989.16449049136,232068.45522600226,232464.5722134184,234280.19817868946,237257.82754810803,240166.01365930238,242329.90593503264,244354.40576539095,246150.7101386151,248873.62298108335,251805.09716616734,255185.11821114845,257841.359983588,260170.1482308508,262079.4658728481,263812.5797727215,265259.22395643656,266158.14304213814,267068.4066399994,267826.062157189,269509.3051269983,271693.9330483046,274235.9736465137,276516.18313354504,278173.1501372472,279501.45419740415,280542.3812548088,281735.1093011493,282786.9208331332,283495.9741047944,283341.16009782103,283237.0326395154,283351.6530503471,284003.26434444106,285056.2938048136,286453.513953434,288388.7694791166,290119.61689697637,291563.9981032698,292348.1630869916,292852.4695621462,292833.49295207625,292205.98142836493,291424.47786072723,291375.59517969727,293019.84012743505,296356.3570512831,300774.8362015443,306564.9367939667,312898.30938299606,318831.60065023,323506.9869352196,327710.63407761604,333320.245685817,341670.9199918893,351861.15899006836,362452.49598457967,372206.95140394423,380857.1307426617,388814.4150118511,396437.23145240516,404266.36808190146,412759.99148497963,422122.3619314989,433447.3902013465,446302.30130187,459025.8906634534,469456.83088099264,475034.77906921395,476049.9587044441,473730.31377714337,471183.9628277342,468585.72924349154,466109.21198604006,462224.28534925147,457818.91564083385,453767.1049464185,451983.3025475822,452360.132352683,454222.1286334689,456445.802834993,458542.40355720883,460400.230888048,461677.04848722555,462417.5778621901,462242.28235506633,462194.4538330948,462213.9236555337
2452,20,New York County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,061,360913.795048884,363224.15554793994,365451.71674883907,370671.97034206026,376872.1112160921,383848.58531908627,390374.0264485605,395604.6565232603,400134.12450104486,404666.71113646985,410498.67256403103,417335.054455763,425042.24430591473,432553.16462636663,440147.483296056,447128.4984243041,453644.9355534339,459163.26721561997,463819.75473353686,467932.60853334394,471976.5330661626,476521.6164171106,481866.2112650916,487224.1183945774,493343.7471992609,499441.64586967556,505640.58153676515,511382.74778529274,516791.1086948109,522473.84206956445,527456.9646333663,531850.9975029811,535692.2478674684,539646.6701848371,543880.1806147733,548305.1246323126,552925.1992990682,557502.3492011548,561788.5692040543,566171.9311280977,573185.5415454732,586382.9876105144,,630726.9112284788,648134.0391103933,656920.4717995751,662867.2310020273,668437.6929105282,673514.0993643858,678154.2141982801,682623.1142830012,687727.5278400969,693073.892957156,698950.0215463625,706306.6182315402,716211.4543684338,729112.8703512433,742847.4376362622,754474.670010402,764703.5775113144,777276.1858120606,789621.3709870847,805379.9843433945,816531.3690078921,829178.7219126037,841336.7221492557,853198.8199126333,863660.4786252822,869723.6322961055,883109.959154761,901232.9038593242,923998.4530986756,948885.1446458078,970231.8170725945,983719.1650761036,986298.736418391,989633.1396854372,994434.0089749722,996333.6972089609,978744.7631015569,947398.9674035319,913095.5410037097,902965.5953837009,916470.6858824481,930190.6331979512,936388.5560149039,933971.0978571428,937722.0675528618,941425.5126711676,937099.2167515494,931919.2081428588,925002.2238719132,924262.0329693967,924647.8344684696,926447.7973681655,928157.1756812701,930071.6278933209,935195.628063194,940801.6181921115,951622.7526957911,951128.1658027191,946490.539777419,931323.686990615,925026.3685259228,932204.6951661533,938846.093051252,946456.4154516907,931830.2884165929,934084.8354109529,936421.1728006917,955799.2811133132,951153.9685122422,952564.2269903965,948539.8970398604,949917.7317004362,937290.4413336288,920854.5647486608,904397.0202457233,891184.560859749,876237.5914893445,863168.7844504219,852375.9135462372,846656.1978073735,847619.9091854393,847491.5572916941,850373.4159442798,858195.254569856,870301.7353870342,882519.4300606604,891713.8743403541,892696.7899361509,891661.9790574526,888901.5660947188,892593.6237642546,897589.4909450789,903552.2216263047,908294.1606026953,913655.2459424465,916310.6722269021,922762.4516351403,929132.4916852927,934933.1981694936,935596.8381282262,934803.1213977472,931175.55240126,928763.5421961574,927243.0224091288,928642.8576516733,931213.4077547941,933330.3354851864,937199.6067380371,942986.7440120572,950684.4491897424,956398.6225553014,962359.1523449343,967166.3988140548,973565.0493026021,978053.0091344168,983369.2051783707,986565.8756430618,987271.7734943205,986594.0718708644,988855.1111494672,996537.5401266754,1012083.2884296948,1035167.7355645271,1057198.2908280557,1074679.0591355413,1086423.8385685065,1099028.8212023468,1110240.6511145784,1120665.6147497979,1131211.0657409572,1139542.726839999,1145068.989830573,1148011.4673683608,1156186.572806157,1174039.312317404,1195993.3250354147,1215816.5098322073,1222509.2237234896,1221606.4672353,1216404.5310618468,1211376.3486529302,1209958.724415918,1210641.9592892935,1215782.173016608,1222048.9569350998,1228351.3299240551,1239091.7061076907,1250364.834322785,1262093.9895392905,1266676.7705459448,1269947.729414669,1275811.6872562664,1283370.1738682368,1288977.6372399274,1290853.2933574822,1291920.2452523336,1291499.4666080796,1288137.6120612654,1286111.264784279,1286216.8186000667,1292873.8675239743,1294880.004517491,1300920.8493334898,1302055.7530418837,1310455.5013891216,1307148.1167970116,1306557.9141737754,1300504.915588855,1303333.6728730188,1296773.625642879,1292054.6394255294,1280872.780012177,1281290.3052169734,1288688.7469546178,1298063.5373477011,1307214.407344929,1318181.053474119,1333978.2482573495,1348929.7398095352,1358652.4195501844,1364669.945375535,1375328.8300844086,1381443.2072394935,1379297.7379754975,1366759.845151037,1342397.7800320543,1323069.4328133324,1297937.9264081677,1283376.6282296923,1275420.1722811712,1276860.5231908278,1285594.3672109907,1289036.9841175445,1285086.96347369,1273070.7405197949,1271135.7361428195,1270651.6340785893,1273597.3263152193,1262821.6486561971,1253014.859600155,1242314.7602337461,1242052.2342351545,1237163.9732016388,1231545.5892101452,1222049.5694687262,1226340.1840626134,1235162.2687840555,1243502.9784273205,1248918.1397931764,1250784.6901772013,1256326.132809921,1261738.9081480561,1262220.9533327343,1263622.449627612,1265689.1993209491,1274217.4748890845,1278399.479469903,1276556.610919406,1275266.93094729,1278920.9991260315,1284052.8955112773,1291092.7328593035,1303031.6233518317,1331717.0336517943,1355858.1892521458,1375304.1124120539,1382884.7412890636,1380055.6751567863,1363737.0670637225,1334697.4868867525,1311452.2291457658,1287155.2274537708,1257440.5232719483,1222465.547322525,1190115.3637763234,1167208.3315600813,1153037.4542804766,1144819.4147638448,1139921.708737172,1134915.0826137457,1129755.606460036,1123763.0361743374,1115507.7728590008,1105716.222658299,1098117.6445486706,1093368.7141479466,1089294.135983886
