Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
90001,1979,.,100.00,31.13,27.93
90001,1980,12.78,112.78,35.11,31.50
90001,1981,21.07,136.55,42.51,38.14
90001,1982,-18.02,111.94,34.85,31.27
90001,1983,32.75,148.60,46.26,41.51
90001,1984,8.12,160.66,50.01,44.88
90001,1985,4.06,167.18,52.04,46.70
90001,1986,17.99,197.26,61.41,55.10
90001,1987,7.65,212.35,66.10,59.32
90001,1988,14.27,242.65,75.53,67.78
90001,1989,19.83,290.76,90.51,81.22
90001,1990,10.49,321.25,100.00,89.73
90001,1991,11.90,359.47,111.90,100.41
90001,1992,0.70,361.99,112.68,101.11
90001,1993,-4.58,345.42,107.53,96.49
90001,1994,-1.25,341.11,106.18,95.28
90001,1995,-3.89,327.84,102.05,91.58
90001,1996,-4.31,313.73,97.66,87.63
90001,1997,3.42,324.46,101.00,90.63
90001,1998,7.90,350.11,108.98,97.80
90001,1999,-0.78,347.39,108.14,97.04
90001,2000,3.05,358.00,111.44,100.00
90001,2001,4.25,373.21,116.18,104.25
90001,2002,12.50,419.86,130.70,117.28
90001,2003,12.37,471.78,146.86,131.78
90001,2004,26.21,595.42,185.35,166.32
90001,2005,34.59,801.40,249.46,223.85
90001,2006,31.41,1053.13,327.82,294.17
90001,2007,5.77,1113.89,346.74,311.15
90001,2008,-19.42,897.59,279.41,250.72
90001,2009,-38.80,549.35,171.01,153.45
90001,2010,-3.32,531.11,165.33,148.36
90001,2011,-8.10,488.10,151.94,136.34
90001,2012,-0.95,483.44,150.49,135.04
90001,2013,14.60,554.04,172.46,154.76
90001,2014,18.77,658.06,204.84,183.82
90001,2015,11.65,734.70,228.70,205.22
90001,2016,11.91,822.17,255.93,229.66
90001,2017,10.57,909.09,282.99,253.94
90001,2018,9.08,991.60,308.67,276.99
90001,2019,8.64,1077.28,335.34,300.92
90001,2020,5.88,1140.58,355.05,318.60
90001,2021,14.66,1307.75,407.08,365.30
90001,2022,10.71,1447.85,450.69,404.43
90001,2023,7.62,1558.20,485.05,435.25
90002,1979,.,100.00,30.02,25.32
90002,1980,14.66,114.66,34.42,29.03
90002,1981,28.20,147.00,44.12,37.22
90002,1982,5.97,155.77,46.76,39.44
90002,1983,5.77,164.76,49.46,41.72
90002,1984,2.05,168.13,50.47,42.57
90002,1985,8.26,182.03,54.64,46.09
90002,1986,7.73,196.09,58.86,49.65
90002,1987,11.09,217.84,65.39,55.15
90002,1988,11.08,241.97,72.63,61.27
90002,1989,22.19,295.68,88.75,74.86
90002,1990,12.67,333.15,100.00,84.35
90002,1991,12.57,375.03,112.57,94.95
90002,1992,2.66,385.01,115.57,97.48
90002,1993,-3.83,370.28,111.15,93.75
90002,1994,-1.65,364.17,109.31,92.20
90002,1995,-0.04,364.02,109.27,92.17
90002,1996,-0.48,362.28,108.74,91.73
90002,1997,4.03,376.86,113.12,95.42
90002,1998,0.92,380.34,114.17,96.30
90002,1999,4.41,397.12,119.20,100.55
90002,2000,-0.54,394.96,118.55,100.00
90002,2001,8.21,427.36,128.28,108.21
90002,2002,8.14,462.17,138.73,117.02
90002,2003,13.68,525.40,157.71,133.03
90002,2004,30.06,683.34,205.12,173.02
90002,2005,40.61,960.83,288.41,243.27
90002,2006,23.70,1188.54,356.76,300.93
90002,2007,6.00,1259.84,378.16,318.98
90002,2008,-14.76,1073.85,322.34,271.89
90002,2009,-46.25,577.22,173.26,146.15
90002,2010,-10.35,517.47,155.33,131.02
90002,2011,1.25,523.94,157.27,132.66
90002,2012,5.95,555.10,166.62,140.55
90002,2013,16.63,647.43,194.34,163.92
90002,2014,13.54,735.06,220.64,186.11
90002,2015,13.02,830.78,249.37,210.35
90002,2016,11.20,923.83,277.30,233.91
90002,2017,10.26,1018.57,305.74,257.89
90002,2018,12.82,1149.12,344.93,290.95
90002,2019,8.45,1246.23,374.08,315.54
90002,2020,5.28,1312.03,393.83,332.19
90002,2021,12.07,1470.40,441.37,372.29
90002,2022,13.40,1667.47,500.52,422.19
90002,2023,3.26,1721.79,516.83,435.94
90003,1979,.,100.00,30.03,25.73
90003,1980,23.27,123.27,37.01,31.72
90003,1981,15.92,142.89,42.90,36.77
90003,1982,8.66,155.26,46.62,39.95
90003,1983,4.08,161.60,48.52,41.58
90003,1984,7.15,173.15,51.99,44.55
90003,1985,3.51,179.22,53.81,46.12
90003,1986,9.78,196.75,59.08,50.62
90003,1987,15.39,227.03,68.17,58.42
90003,1988,8.69,246.75,74.09,63.49
90003,1989,13.32,279.61,83.96,71.95
90003,1990,19.11,333.04,100.00,85.69
90003,1991,12.16,373.54,112.16,96.12
90003,1992,4.70,391.11,117.44,100.64
90003,1993,-1.57,384.97,115.59,99.06
90003,1994,-6.77,358.91,107.77,92.35
90003,1995,3.70,372.21,111.76,95.77
90003,1996,-1.40,366.98,110.19,94.43
90003,1997,0.31,368.11,110.53,94.72
90003,1998,9.59,403.42,121.13,103.80
90003,1999,3.47,417.43,125.34,107.41
90003,2000,-6.90,388.64,116.70,100.00
90003,2001,12.35,436.62,131.10,112.35
90003,2002,9.03,476.03,142.94,122.49
90003,2003,13.63,540.91,162.42,139.18
90003,2004,30.67,706.82,212.24,181.87
90003,2005,37.81,974.07,292.48,250.64
90003,2006,26.00,1227.38,368.54,315.82
90003,2007,6.02,1301.26,390.73,334.83
90003,2008,-15.22,1103.21,331.26,283.86
90003,2009,-45.63,599.76,180.09,154.32
90003,2010,-6.99,557.84,167.50,143.54
90003,2011,-4.18,534.54,160.51,137.54
90003,2012,4.47,558.44,167.68,143.69
90003,2013,18.50,661.72,198.69,170.27
90003,2014,15.61,765.02,229.71,196.85
90003,2015,13.33,867.03,260.34,223.09
90003,2016,12.93,979.17,294.01,251.95
90003,2017,7.69,1054.44,316.61,271.32
90003,2018,12.73,1188.63,356.91,305.85
90003,2019,7.16,1273.79,382.48,327.76
90003,2020,10.40,1406.25,422.25,361.84
90003,2021,11.95,1574.33,472.72,405.09
90003,2022,10.97,1746.96,524.55,449.51
90003,2023,7.84,1883.93,565.68,484.75
90004,1977,.,100.00,20.11,19.14
90004,1978,19.55,119.55,24.05,22.88
90004,1979,40.41,167.86,33.76,32.12
90004,1980,20.41,202.12,40.65,38.68
90004,1981,1.85,205.86,41.41,39.39
90004,1982,-29.09,145.97,29.36,27.93
90004,1983,51.76,221.52,44.56,42.39
90004,1984,2.14,226.27,45.51,43.30
90004,1985,0.35,227.06,45.67,43.45
90004,1986,8.65,246.70,49.62,47.21
90004,1987,12.23,276.86,55.69,52.98
90004,1988,27.63,353.35,71.07,67.61
90004,1989,34.78,476.23,95.79,91.13
90004,1990,4.40,497.16,100.00,95.13
90004,1991,-0.64,493.97,99.36,94.52
90004,1992,-3.73,475.56,95.65,91.00
90004,1993,-15.45,402.09,80.88,76.94
90004,1994,-15.06,341.55,68.70,65.36
90004,1995,-6.17,320.50,64.46,61.33
90004,1996,5.11,336.87,67.76,64.46
90004,1997,4.83,353.13,71.03,67.57
90004,1998,19.34,421.43,84.77,80.64
90004,1999,8.67,457.99,92.12,87.64
90004,2000,14.11,522.60,105.12,100.00
90004,2001,13.83,594.86,119.65,113.83
90004,2002,11.14,661.09,132.97,126.50
90004,2003,11.44,736.71,148.18,140.97
90004,2004,18.99,876.64,176.33,167.75
90004,2005,26.79,1111.51,223.57,212.69
90004,2006,14.81,1276.15,256.69,244.19
90004,2007,5.66,1348.35,271.21,258.01
90004,2008,-11.14,1198.12,240.99,229.26
90004,2009,-13.21,1039.88,209.16,198.98
90004,2010,-1.79,1021.30,205.42,195.43
90004,2011,-0.22,1019.07,204.98,195.00
90004,2012,0.30,1022.13,205.59,195.59
90004,2013,9.14,1115.60,224.39,213.47
90004,2014,13.92,1270.91,255.63,243.19
90004,2015,11.96,1422.89,286.20,272.27
90004,2016,8.20,1539.57,309.67,294.60
90004,2017,6.74,1643.30,330.54,314.45
90004,2018,6.46,1749.39,351.87,334.75
90004,2019,1.22,1770.74,356.17,338.83
90004,2020,0.08,1772.16,356.46,339.11
90004,2021,2.40,1814.76,365.02,347.26
90004,2022,16.81,2119.83,426.38,405.63
90004,2023,47.47,3126.16,628.80,598.19
90005,1986,.,100.00,38.15,45.58
90005,1987,21.94,121.94,46.52,55.58
90005,1988,38.14,168.45,64.26,76.78
90005,1989,33.76,225.32,85.96,102.70
90005,1990,16.33,262.12,100.00,119.48
90005,1991,-14.18,224.96,85.82,102.54
90005,1992,-7.28,208.58,79.57,95.07
90005,1993,-10.44,186.80,71.26,85.14
90005,1994,-14.11,160.43,61.20,73.12
90005,1995,-12.59,140.23,53.50,63.92
90005,1996,6.27,149.02,56.85,67.92
90005,1997,-3.50,143.80,54.86,65.54
90005,1998,28.71,185.08,70.61,84.36
90005,1999,11.71,206.75,78.88,94.24
90005,2000,6.12,219.39,83.70,100.00
90005,2001,21.09,265.67,101.35,121.09
90005,2002,9.68,291.38,111.16,132.81
90005,2003,12.93,329.07,125.54,149.99
90005,2004,18.01,388.33,148.15,177.00
90005,2005,41.54,549.66,209.70,250.53
90005,2006,8.88,598.49,228.33,272.79
90005,2007,-12.64,522.86,199.47,238.32
90005,2008,-1.30,516.07,196.88,235.23
90005,2009,-12.64,450.83,171.99,205.49
90005,2010,0.42,452.71,172.71,206.35
90005,2011,-7.38,419.32,159.97,191.13
90005,2012,8.08,453.20,172.90,206.57
90005,2013,10.79,502.11,191.56,228.86
90005,2014,18.57,595.35,227.13,271.36
90005,2015,5.54,628.32,239.70,286.39
90005,2016,6.18,667.15,254.52,304.09
90005,2017,0.08,667.66,254.71,304.32
90005,2018,9.64,732.05,279.28,333.67
90005,2019,7.03,783.49,298.90,357.12
90005,2020,-10.42,701.85,267.76,319.90
90005,2021,-4.49,670.32,255.73,305.53
90005,2022,.,.,.,.
90005,2023,.,.,.,.
90006,1986,.,100.00,55.95,50.49
90006,1987,14.22,114.22,63.90,57.67
90006,1988,24.11,141.75,79.31,71.58
90006,1989,20.19,170.37,95.32,86.03
90006,1990,4.91,178.74,100.00,90.25
90006,1991,9.45,195.63,109.45,98.78
90006,1992,-4.09,187.63,104.97,94.74
90006,1993,-7.67,173.24,96.93,87.48
90006,1994,-13.82,149.31,83.53,75.39
90006,1995,-3.60,143.93,80.53,72.68
90006,1996,-2.44,140.42,78.56,70.90
90006,1997,-2.89,136.36,76.29,68.85
90006,1998,14.73,156.44,87.52,78.99
90006,1999,6.80,167.08,93.48,84.37
90006,2000,18.53,198.04,110.80,100.00
90006,2001,10.33,218.49,122.24,110.33
90006,2002,13.57,248.15,138.84,125.30
90006,2003,22.49,303.96,170.06,153.48
90006,2004,22.75,373.10,208.74,188.40
90006,2005,36.82,510.47,285.60,257.76
90006,2006,10.55,564.30,315.72,284.94
90006,2007,9.05,615.39,344.30,310.74
90006,2008,-16.68,512.72,286.86,258.90
90006,2009,-21.31,403.47,225.73,203.73
90006,2010,-12.78,351.92,196.89,177.70
90006,2011,6.87,376.10,210.42,189.91
90006,2012,-4.32,359.84,201.33,181.70
90006,2013,13.15,407.17,227.80,205.60
90006,2014,11.77,455.10,254.62,229.80
90006,2015,18.89,541.06,302.71,273.20
90006,2016,9.89,594.56,332.64,300.22
90006,2017,10.93,659.54,369.00,333.03
90006,2018,8.40,714.92,399.98,361.00
90006,2019,4.80,749.25,419.19,378.33
90006,2020,5.43,789.90,441.93,398.86
90006,2021,4.46,825.13,461.64,416.65
90006,2022,11.17,917.27,513.19,463.17
90006,2023,.,.,.,.
90007,1985,.,100.00,58.04,55.00
90007,1986,-0.71,99.29,57.63,54.61
90007,1987,19.05,118.21,68.61,65.01
90007,1988,2.17,120.77,70.10,66.42
90007,1989,23.81,149.53,86.79,82.24
90007,1990,15.22,172.29,100.00,94.75
90007,1991,6.07,182.75,106.07,100.51
90007,1992,-1.66,179.72,104.32,98.84
90007,1993,-4.10,172.35,100.04,94.79
90007,1994,-10.52,154.22,89.52,84.82
90007,1995,-6.67,143.94,83.55,79.17
90007,1996,4.47,150.38,87.29,82.70
90007,1997,-4.83,143.12,83.07,78.71
90007,1998,11.96,160.24,93.01,88.13
90007,1999,0.75,161.44,93.71,88.79
90007,2000,12.63,181.83,105.54,100.00
90007,2001,10.40,200.74,116.52,110.40
90007,2002,11.96,224.76,130.46,123.61
90007,2003,14.66,257.72,149.59,141.74
90007,2004,30.60,336.58,195.36,185.11
90007,2005,29.51,435.90,253.01,239.73
90007,2006,30.04,566.83,329.00,311.74
90007,2007,-0.32,565.00,327.94,310.73
90007,2008,-18.82,458.64,266.21,252.24
90007,2009,-25.95,339.63,197.13,186.78
90007,2010,-0.70,337.27,195.76,185.49
90007,2011,-4.93,320.64,186.11,176.34
90007,2012,-4.40,306.54,177.92,168.59
90007,2013,17.62,360.54,209.27,198.29
90007,2014,27.40,459.33,266.61,252.62
90007,2015,2.77,472.05,273.99,259.61
90007,2016,13.98,538.02,312.28,295.90
90007,2017,6.70,574.09,333.22,315.73
90007,2018,20.50,691.78,401.53,380.46
90007,2019,-0.44,688.71,399.75,378.77
90007,2020,2.16,703.58,408.38,386.95
90007,2021,13.05,795.37,461.66,437.43
90007,2022,9.09,867.65,503.61,477.18
90007,2023,-4.65,827.33,480.21,455.01
90008,1976,.,100.00,20.79,19.25
90008,1977,13.48,113.48,23.59,21.84
90008,1978,32.00,149.79,31.14,28.83
90008,1979,20.14,179.95,37.41,34.64
90008,1980,15.04,207.02,43.04,39.85
90008,1981,2.95,213.12,44.31,41.03
90008,1982,-18.51,173.68,36.11,33.43
90008,1983,32.40,229.96,47.81,44.27
90008,1984,14.12,262.43,54.56,50.52
90008,1985,-0.87,260.14,54.09,50.08
90008,1986,8.32,281.77,58.58,54.24
90008,1987,7.19,302.03,62.80,58.14
90008,1988,17.31,354.30,73.66,68.20
90008,1989,24.82,442.23,91.94,85.13
90008,1990,8.76,480.98,100.00,92.59
90008,1991,2.82,494.53,102.82,95.20
90008,1992,-1.48,487.23,101.30,93.79
90008,1993,-5.01,462.80,96.22,89.09
90008,1994,-3.58,446.22,92.77,85.90
90008,1995,-7.82,411.33,85.52,79.18
90008,1996,2.48,421.54,87.64,81.14
90008,1997,-3.66,406.10,84.43,78.17
90008,1998,9.31,443.91,92.29,85.45
90008,1999,7.35,476.52,99.07,91.73
90008,2000,9.02,519.49,108.01,100.00
90008,2001,10.48,573.93,119.32,110.48
90008,2002,10.54,634.43,131.90,122.13
90008,2003,13.33,718.97,149.48,138.40
90008,2004,22.03,877.36,182.41,168.89
90008,2005,28.97,1131.56,235.26,217.82
90008,2006,15.30,1304.74,271.27,251.16
90008,2007,-0.11,1303.31,270.97,250.88
90008,2008,-12.97,1134.23,235.82,218.33
90008,2009,-20.47,902.05,187.54,173.64
90008,2010,-7.86,831.14,172.80,159.99
90008,2011,-3.02,806.08,167.59,155.17
90008,2012,1.34,816.86,169.83,157.24
90008,2013,12.75,921.04,191.49,177.30
90008,2014,16.11,1069.44,222.35,205.86
90008,2015,11.78,1195.45,248.55,230.12
90008,2016,14.20,1365.15,283.83,262.79
90008,2017,11.56,1522.91,316.63,293.15
90008,2018,7.28,1633.84,339.69,314.51
90008,2019,7.94,1763.59,366.67,339.49
90008,2020,4.56,1843.95,383.37,354.95
90008,2021,7.04,1973.81,410.37,379.95
90008,2022,7.75,2126.82,442.19,409.41
90008,2023,9.67,2332.52,484.95,449.00
90011,1979,.,100.00,29.69,25.41
90011,1980,24.96,124.96,37.10,31.75
90011,1981,15.55,144.39,42.86,36.69
90011,1982,2.36,147.79,43.88,37.55
90011,1983,6.78,157.82,46.85,40.10
90011,1984,5.44,166.41,49.40,42.28
90011,1985,10.64,184.12,54.66,46.78
90011,1986,12.45,207.04,61.46,52.61
90011,1987,8.40,224.43,66.63,57.03
90011,1988,14.62,257.25,76.37,65.37
90011,1989,16.13,298.74,88.69,75.91
90011,1990,12.76,336.85,100.00,85.59
90011,1991,12.93,380.40,112.93,96.66
90011,1992,0.37,381.81,113.35,97.02
90011,1993,1.45,387.36,114.99,98.43
90011,1994,-5.96,364.26,108.14,92.56
90011,1995,-0.41,362.77,107.70,92.18
90011,1996,-0.28,361.75,107.39,91.92
90011,1997,-2.94,351.10,104.23,89.21
90011,1998,9.40,384.10,114.03,97.60
90011,1999,6.74,410.00,121.72,104.18
90011,2000,-4.01,393.55,116.83,100.00
90011,2001,8.47,426.88,126.73,108.47
90011,2002,9.27,466.44,138.47,118.52
90011,2003,12.69,525.63,156.04,133.56
90011,2004,28.72,676.58,200.86,171.92
90011,2005,34.19,907.90,269.53,230.69
90011,2006,27.72,1159.53,344.23,294.63
90011,2007,9.38,1268.29,376.52,322.27
90011,2008,-16.40,1060.30,314.77,269.42
90011,2009,-41.03,625.28,185.63,158.88
90011,2010,4.05,650.64,193.15,165.32
90011,2011,-13.51,562.72,167.05,142.98
90011,2012,-1.91,551.97,163.86,140.25
90011,2013,15.77,639.03,189.71,162.38
90011,2014,15.23,736.38,218.61,187.11
90011,2015,14.96,846.53,251.31,215.10
90011,2016,8.56,918.96,272.81,233.50
90011,2017,11.73,1026.77,304.82,260.90
90011,2018,12.04,1150.38,341.51,292.30
90011,2019,6.88,1229.52,365.01,312.42
90011,2020,7.68,1323.99,393.05,336.42
90011,2021,11.83,1480.69,439.57,376.24
90011,2022,6.91,1583.02,469.95,402.24
90011,2023,6.59,1687.34,500.92,428.74
90012,1992,.,100.00,.,.
90012,1993,-15.08,84.92,.,.
90012,1994,-14.56,72.56,.,.
90012,1995,21.01,87.81,.,.
90012,1996,-11.93,77.33,.,.
90012,1997,2.67,79.40,.,.
90012,1998,5.28,83.59,.,.
90012,1999,18.94,99.42,.,.
90012,2000,.,.,.,.
90012,2001,.,116.03,.,.
90012,2002,-1.07,114.79,.,.
90012,2003,14.74,131.71,.,.
90012,2004,31.52,173.22,.,.
90012,2005,32.16,228.93,.,.
90012,2006,39.06,318.35,.,.
90012,2007,-10.44,285.12,.,.
90012,2008,7.02,305.14,.,.
90012,2009,-35.91,195.55,.,.
90012,2010,0.06,195.66,.,.
90012,2011,10.05,215.32,.,.
90012,2012,-7.40,199.40,.,.
90012,2013,6.15,211.66,.,.
90012,2014,31.81,278.98,.,.
90012,2015,2.68,286.45,.,.
90012,2016,11.28,318.77,.,.
90012,2017,7.96,344.13,.,.
90012,2018,10.64,380.74,.,.
90012,2019,13.22,431.09,.,.
90012,2020,10.12,474.69,.,.
90012,2021,12.61,534.55,.,.
90012,2022,4.30,557.55,.,.
90012,2023,.,.,.,.
90015,2003,.,100.00,.,.
90015,2004,39.01,139.01,.,.
90015,2005,20.72,167.81,.,.
90015,2006,7.21,179.91,.,.
90015,2007,27.48,229.35,.,.
90015,2008,-13.12,199.26,.,.
90015,2009,-40.56,118.45,.,.
90015,2010,.,.,.,.
90015,2011,.,119.00,.,.
90015,2012,-1.52,117.19,.,.
90015,2013,14.61,134.31,.,.
90015,2014,18.99,159.82,.,.
90015,2015,27.12,203.16,.,.
90015,2016,3.70,210.68,.,.
90015,2017,12.40,236.79,.,.
90015,2018,2.01,241.55,.,.
90015,2019,30.88,316.14,.,.
90015,2020,-6.82,294.57,.,.
90015,2021,8.42,319.36,.,.
90015,2022,.,.,.,.
90015,2023,.,.,.,.
90016,1978,.,100.00,28.20,24.82
90016,1979,25.77,125.77,35.46,31.21
90016,1980,19.07,149.75,42.22,37.17
90016,1981,4.71,156.80,44.21,38.92
90016,1982,-4.35,149.98,42.29,37.22
90016,1983,13.44,170.13,47.97,42.22
90016,1984,12.82,191.95,54.12,47.64
90016,1985,-2.57,187.02,52.73,46.42
90016,1986,12.74,210.84,59.45,52.33
90016,1987,5.38,222.18,62.65,55.14
90016,1988,18.34,262.94,74.14,65.26
90016,1989,15.20,302.91,85.41,75.18
90016,1990,17.08,354.65,100.00,88.02
90016,1991,5.90,375.58,105.90,93.21
90016,1992,0.84,378.74,106.79,94.00
90016,1993,-3.46,365.63,103.10,90.75
90016,1994,-4.22,350.21,98.75,86.92
90016,1995,-9.14,318.21,89.73,78.98
90016,1996,4.61,332.90,93.87,82.62
90016,1997,-2.12,325.86,91.88,80.87
90016,1998,10.77,360.94,101.77,89.58
90016,1999,2.79,371.02,104.61,92.08
90016,2000,8.60,402.92,113.61,100.00
90016,2001,10.71,446.06,125.77,110.71
90016,2002,14.72,511.73,144.29,127.00
90016,2003,15.67,591.93,166.90,146.91
90016,2004,30.23,770.89,217.36,191.33
90016,2005,27.34,981.66,276.79,243.64
90016,2006,21.69,1194.61,336.84,296.49
90016,2007,4.20,1244.79,350.99,308.94
90016,2008,-17.48,1027.19,289.63,254.94
90016,2009,-25.20,768.38,216.66,190.70
90016,2010,-2.11,752.13,212.08,186.67
90016,2011,-6.18,705.62,198.96,175.13
90016,2012,1.25,714.44,201.45,177.32
90016,2013,16.64,833.32,234.97,206.82
90016,2014,20.01,1000.03,281.97,248.19
90016,2015,13.18,1131.84,319.14,280.91
90016,2016,12.78,1276.45,359.91,316.80
90016,2017,13.70,1451.38,409.24,360.21
90016,2018,13.01,1640.22,462.48,407.08
90016,2019,8.93,1786.67,503.78,443.43
90016,2020,5.32,1881.65,530.56,467.00
90016,2021,7.62,2025.11,571.01,502.61
90016,2022,15.23,2333.61,658.00,579.17
90016,2023,0.20,2338.38,659.34,580.36
90018,1979,.,100.00,30.86,28.22
90018,1980,16.36,116.36,35.90,32.84
90018,1981,22.15,142.14,43.86,40.11
90018,1982,-6.06,133.53,41.20,37.68
90018,1983,11.97,149.52,46.14,42.20
90018,1984,13.14,169.17,52.20,47.74
90018,1985,2.58,173.54,53.55,48.97
90018,1986,6.90,185.51,57.24,52.35
90018,1987,12.86,209.37,64.60,59.09
90018,1988,9.91,230.11,71.00,64.94
90018,1989,26.75,291.68,90.00,82.32
90018,1990,11.11,324.09,100.00,91.46
90018,1991,5.39,341.57,105.39,96.40
90018,1992,0.67,343.85,106.10,97.04
90018,1993,-3.32,332.43,102.57,93.82
90018,1994,-6.26,311.62,96.15,87.94
90018,1995,-4.39,297.96,91.94,84.09
90018,1996,1.32,301.90,93.15,85.20
90018,1997,-3.80,290.42,89.61,81.96
90018,1998,12.60,327.00,100.90,92.29
90018,1999,2.82,336.21,103.74,94.88
90018,2000,5.39,354.34,109.33,100.00
90018,2001,12.26,397.78,122.74,112.26
90018,2002,13.54,451.65,139.36,127.46
90018,2003,16.27,525.12,162.03,148.20
90018,2004,26.88,666.28,205.58,188.03
90018,2005,30.94,872.41,269.19,246.21
90018,2006,26.80,1106.19,341.32,312.18
90018,2007,2.98,1139.16,351.50,321.49
90018,2008,-18.60,927.24,286.11,261.68
90018,2009,-27.89,668.64,206.31,188.70
90018,2010,-7.24,620.21,191.37,175.03
90018,2011,-3.79,596.73,184.13,168.41
90018,2012,2.95,614.31,189.55,173.37
90018,2013,13.63,698.06,215.39,197.00
90018,2014,25.79,878.12,270.95,247.82
90018,2015,10.39,969.36,299.10,273.57
90018,2016,14.25,1107.50,341.73,312.55
90018,2017,14.18,1264.50,390.17,356.86
90018,2018,9.56,1385.35,427.46,390.97
90018,2019,8.90,1508.61,465.49,425.75
90018,2020,3.38,1559.67,481.25,440.16
90018,2021,9.62,1709.69,527.54,482.50
90018,2022,10.36,1886.78,582.18,532.48
90018,2023,2.44,1932.81,596.38,545.47
90019,1977,.,100.00,16.11,14.22
90019,1978,56.55,156.55,25.21,22.27
90019,1979,17.56,184.03,29.64,26.18
90019,1980,26.26,232.36,37.42,33.05
90019,1981,13.68,264.15,42.54,37.57
90019,1982,-12.81,230.32,37.09,32.76
90019,1983,14.94,264.72,42.63,37.66
90019,1984,6.64,282.29,45.46,40.16
90019,1985,3.19,291.29,46.91,41.44
90019,1986,7.68,313.67,50.52,44.62
90019,1987,12.37,352.48,56.77,50.14
90019,1988,23.37,434.85,70.03,61.86
90019,1989,34.50,584.86,94.19,83.19
90019,1990,6.17,620.92,100.00,88.33
90019,1991,0.16,621.93,100.16,88.47
90019,1992,-2.51,606.29,97.64,86.24
90019,1993,-6.31,568.03,91.48,80.80
90019,1994,-13.41,491.86,79.21,69.97
90019,1995,-8.73,448.92,72.30,63.86
90019,1996,5.08,471.74,75.97,67.10
90019,1997,3.80,489.66,78.86,69.65
90019,1998,14.45,560.42,90.26,79.72
90019,1999,10.99,622.00,100.17,88.48
90019,2000,13.02,702.99,113.22,100.00
90019,2001,12.85,793.36,127.77,112.85
90019,2002,14.30,906.81,146.04,128.99
90019,2003,14.60,1039.24,167.37,147.83
90019,2004,26.26,1312.09,211.31,186.64
90019,2005,27.97,1679.02,270.41,238.84
90019,2006,11.22,1867.35,300.74,265.63
90019,2007,4.78,1956.63,315.12,278.33
90019,2008,-17.49,1614.43,260.00,229.65
90019,2009,-12.10,1419.13,228.55,201.87
90019,2010,-2.47,1384.09,222.91,196.89
90019,2011,-0.02,1383.84,222.87,196.85
90019,2012,1.26,1401.33,225.68,199.34
90019,2013,10.96,1554.94,250.42,221.19
90019,2014,16.80,1816.24,292.51,258.36
90019,2015,9.09,1981.27,319.08,281.83
90019,2016,10.50,2189.29,352.59,311.42
90019,2017,9.65,2400.48,386.60,341.46
90019,2018,8.87,2613.47,420.90,371.76
90019,2019,4.10,2720.74,438.18,387.02
90019,2020,-1.65,2675.85,430.95,380.64
90019,2021,7.59,2879.03,463.67,409.54
90019,2022,14.10,3284.86,529.03,467.27
90019,2023,13.56,3730.34,600.77,530.64
90020,2001,.,100.00,.,.
90020,2002,14.43,114.43,.,.
90020,2003,-1.21,113.04,.,.
90020,2004,32.18,149.41,.,.
90020,2005,.,.,.,.
90020,2006,.,.,.,.
90020,2007,.,.,.,.
90020,2008,.,172.51,.,.
90020,2009,-9.85,155.52,.,.
90020,2010,-6.01,146.17,.,.
90020,2011,0.14,146.38,.,.
90020,2012,2.85,150.56,.,.
90020,2013,24.16,186.94,.,.
90020,2014,.,.,.,.
90020,2015,.,.,.,.
90020,2016,.,210.73,.,.
90020,2017,.,.,.,.
90020,2018,.,.,.,.
90020,2019,.,.,.,.
90020,2020,.,267.90,.,.
90020,2021,-2.73,260.59,.,.
90020,2022,.,.,.,.
90020,2023,.,.,.,.
90022,1977,.,100.00,24.90,25.39
90022,1978,8.16,108.16,26.93,27.46
90022,1979,30.29,140.92,35.09,35.78
90022,1980,14.22,160.96,40.08,40.87
90022,1981,9.89,176.88,44.05,44.91
90022,1982,-33.98,116.78,29.08,29.65
90022,1983,61.92,189.08,47.08,48.01
90022,1984,2.77,194.33,48.39,49.34
90022,1985,6.23,206.44,51.41,52.42
90022,1986,8.37,223.73,55.71,56.80
90022,1987,10.10,246.31,61.33,62.54
90022,1988,19.89,295.31,73.54,74.98
90022,1989,26.80,374.45,93.24,95.07
90022,1990,7.25,401.59,100.00,101.96
90022,1991,4.20,418.45,104.20,106.24
90022,1992,-2.58,407.63,101.51,103.50
90022,1993,-1.59,401.14,99.89,101.85
90022,1994,-5.68,378.35,94.21,96.06
90022,1995,-0.92,374.86,93.35,95.18
90022,1996,-3.45,361.92,90.12,91.89
90022,1997,-0.69,359.43,89.50,91.26
90022,1998,6.49,382.75,95.31,97.18
90022,1999,1.98,390.34,97.20,99.11
90022,2000,0.90,393.86,98.08,100.00
90022,2001,8.84,428.69,106.75,108.84
90022,2002,9.45,469.19,116.83,119.13
90022,2003,14.96,539.39,134.32,136.95
90022,2004,25.08,674.65,168.00,171.29
90022,2005,32.85,896.30,223.19,227.57
90022,2006,21.07,1085.13,270.21,275.51
90022,2007,4.95,1138.79,283.57,289.14
90022,2008,-18.34,929.92,231.56,236.10
90022,2009,-25.70,690.90,172.04,175.42
90022,2010,-7.97,635.83,158.33,161.43
90022,2011,-3.59,612.99,152.64,155.64
90022,2012,-1.03,606.65,151.06,154.03
90022,2013,9.91,666.77,166.03,169.29
